fromDateTime,HUMIDITY,PM1,PM10,PM25,PRESSURE,TEMPERATURE
2020-03-25T09:00:00.000Z,41.09,13.98,24.7,18.38,1038.77,6.12
2020-03-25T10:00:00.000Z,36.25,13.16,22.86,17.24,1037.93,8.82
2020-03-25T11:00:00.000Z,34.07,12.78,22.64,16.86,1037.03,10.05
2020-03-25T12:00:00.000Z,32.27,11.15,19.56,14.56,1036.33,11.0
2020-03-25T13:00:00.000Z,29.7,9.98,16.74,12.69,1035.68,11.65
2020-03-25T14:00:00.000Z,28.36,8.89,15.6,11.66,1035.06,11.62
2020-03-25T15:00:00.000Z,27.49,10.06,17.8,13.3,1035.34,8.39
2020-03-25T16:00:00.000Z,31.45,12.29,22.67,16.76,1035.57,6.0
2020-03-25T17:00:00.000Z,35.46,17.33,33.01,23.98,1035.53,4.5
2020-03-25T18:00:00.000Z,38.65,28.18,66.17,41.96,1035.6,3.32
2020-03-25T19:00:00.000Z,36.33,30.35,71.68,45.11,1035.75,2.57
2020-03-25T20:00:00.000Z,38.14,27.21,62.03,39.9,1035.73,1.81
2020-03-25T21:00:00.000Z,41.06,28.47,65.92,42.1,1035.86,1.12
2020-03-25T22:00:00.000Z,43.77,34.24,81.24,50.77,1035.94,0.44
2020-03-25T23:00:00.000Z,45.86,33.31,78.59,49.28,1035.67,-0.15
2020-03-26T00:00:00.000Z,48.06,30.6,71.24,45.43,1035.36,-0.49
2020-03-26T01:00:00.000Z,49.27,30.71,70.8,45.28,1034.9,-0.61
2020-03-26T02:00:00.000Z,49.38,27.17,59.89,39.12,1034.58,-0.41
2020-03-26T03:00:00.000Z,49.2,26.25,57.24,37.6,1034.48,-0.08
2020-03-26T04:00:00.000Z,48.62,26.41,57.45,37.99,1034.41,0.01
2020-03-26T05:00:00.000Z,48.42,27.25,59.73,38.97,1034.48,0.35
2020-03-26T06:00:00.000Z,47.27,27.78,61.49,40.02,1034.7,1.42
2020-03-26T07:00:00.000Z,44.13,26.35,58.19,37.94,1034.68,3.19
2020-03-26T08:00:00.000Z,41.03,22.01,45.99,30.96,1034.05,5.98
2020-03-26T17:00:00.000Z,35.62,27.28,61.23,39.22,1030.99,8.55
2020-03-26T18:00:00.000Z,38.01,31.41,71.21,44.96,1030.88,7.63
2020-03-26T19:00:00.000Z,37.9,36.72,80.58,51.35,1030.78,7.02
2020-03-26T20:00:00.000Z,38.03,39.46,85.39,55.88,1030.84,6.39
2020-03-26T21:00:00.000Z,39.47,38.56,84.41,54.08,1030.81,5.77
2020-03-26T22:00:00.000Z,40.73,38.02,84.34,53.59,1030.65,5.17
2020-03-26T23:00:00.000Z,41.65,38.38,86.02,54.36,1030.56,4.64
2020-03-27T00:00:00.000Z,43.55,40.09,88.84,57.07,1030.24,4.17
2020-03-27T01:00:00.000Z,45.79,35.3,81.79,51.46,1029.92,3.45
2020-03-27T02:00:00.000Z,48.02,35.33,81.48,51.55,1029.8,2.68
2020-03-27T03:00:00.000Z,50.79,36.93,85.34,53.55,1029.67,1.97
2020-03-27T04:00:00.000Z,52.46,39.87,89.0,56.05,1029.59,1.7
2020-03-27T05:00:00.000Z,53.01,42.65,91.39,59.59,1029.45,1.93
2020-03-27T06:00:00.000Z,51.13,41.82,87.16,57.87,1029.13,3.42
2020-03-27T07:00:00.000Z,48.21,38.91,78.38,52.78,1028.46,6.22
2020-03-27T08:00:00.000Z,45.09,32.69,67.4,43.92,1027.75,9.49
2020-03-27T09:00:00.000Z,41.19,26.37,56.96,36.92,1027.05,12.21
2020-03-27T10:00:00.000Z,38.42,25.78,54.85,35.85,1026.36,13.74
2020-03-27T11:00:00.000Z,33.74,25.22,53.57,35.17,1025.62,15.89
2020-03-27T12:00:00.000Z,30.74,25.88,55.24,36.12,1025.04,17.43
2020-03-27T13:00:00.000Z,28.88,26.86,58.65,37.9,1024.32,18.35
2020-03-27T14:00:00.000Z,28.16,27.79,61.06,39.26,1023.86,18.19
2020-03-27T15:00:00.000Z,29.0,27.45,60.22,38.78,1023.85,15.28
2020-03-28T13:00:00.000Z,23.86,33.82,68.74,45.87,1014.56,20.5
2020-03-28T14:00:00.000Z,23.65,30.94,66.31,42.57,1013.84,20.17
2020-03-28T15:00:00.000Z,24.61,32.67,68.8,44.59,1013.83,17.47
2020-03-28T16:00:00.000Z,28.19,36.49,72.92,49.63,1013.85,14.94
2020-03-28T17:00:00.000Z,32.85,46.81,87.18,64.04,1014.05,12.79
2020-03-28T18:00:00.000Z,34.39,60.21,116.67,84.83,1014.28,11.11
2020-03-28T19:00:00.000Z,35.78,69.0,140.6,100.51,1014.14,9.78
2020-03-28T20:00:00.000Z,40.03,71.17,146.66,104.12,1014.05,8.45
2020-03-28T21:00:00.000Z,43.11,88.91,185.3,131.0,1013.96,7.36
